,0,1,2,3,4,5,6,7,8,9
0.0,0.0782346,0.24454,0.326659,0.119052,0.258939,0.148424,0.203734,0.0898381,0.0898381,0.124495
0.1,0.425859,0.392824,0.208077,0.0883242,0.379269,0.246818,0.109827,0.127416,0.303153,0.176507
0.2,0.413173,0.0166528,0.614598,0.526047,0.321838,0.466649,0.561017,0.558824,0.584022,0.177731
0.3,0.636134,0.64825,0.652163,0.754496,0.656633,0.630545,0.676695,0.537218,0.603895,0.694416
0.4,0.673063,0.683186,0.722165,0.790813,0.72332,0.716178,0.721392,0.802245,0.777603,0.638118
0.5,0.808987,0.864885,0.840762,0.852177,0.832519,0.667617,0.666394,0.805558,0.832535,0.715594
0.6,0.850673,0.852453,0.863696,0.846251,0.831724,0.877609,0.895034,0.794166,0.900385,0.816973
0.7,0.853917,0.868664,0.871631,0.832616,0.849371,0.864612,0.886527,0.913991,0.876526,0.897322
0.8,0.87493,0.901132,0.880369,0.919741,0.889346,0.907266,0.928914,0.909104,0.922427,0.905849
0.9,0.892041,0.911688,0.924087,0.90777,0.936121,0.909538,0.896776,0.91965,0.870364,0.93245
1.0,0.92647,0.903916,0.884811,0.91807,0.824842,0.938504,0.83837,0.883248,0.922731,0.85492
