N	t_re	p_link	p_re	Omega	daylength	R[0]	R[1]	R[2]	delta	P[0]	P[1]	P[2]
100	5	0	0	0.261799	0	0.20513	0.343276	0.277669	1.5535	23.3013	23.1266	23.1615
100	5	0.001	0	0.261799	0	0.0613894	0.575195	0.46032	3.1705	23.7075	23.3147	23.3932
100	5	0.005	0	0.261799	0	0.402487	0.531884	0.433054	3.1195	23.79	23.38	23.462
100	5	0.01	0	0.261799	0	0.672153	0.542038	0.45399	3.94875	22.81	22.81	22.81
100	5	0.02	0	0.261799	0	0.891439	0.474092	0.419088	3.27425	23.3475	23.3112	23.3185
100	5	0.03	0	0.261799	0	0.908417	0.818645	0.67965	1.30725	23.325	22.8878	22.9753
100	5	0.04	0	0.261799	0	0.906518	0.650412	0.551012	6.65625	22.8125	23.0416	22.9958
100	5	0.05	0	0.261799	0	0.904675	0.793331	0.659952	0.24825	23.3125	23.1091	23.1497
100	5	0.06	0	0.261799	0	0.826102	0.594467	0.503457	1.9775	22.92	22.9469	22.9415
100	5	0.05	0	0.261799	0	0.603393	0.571979	0.473229	0.52175	23.3287	23.38	23.3698

100	5	0.05	0	0.261799	0	0.896604	0.797646	0.662834	0.903	23.03	23.0884	23.0768
100	5	0.05	0.001	0.261799	0	0.896604	0.797646	0.662834	0.134	23.1	23.1016	23.1013
100	5	0.05	0.002	0.261799	0	0.896604	0.797646	0.662834	0.30925	22.8137	22.8256	22.8233
100	5	0.05	0.003	0.261799	0	0.896604	0.797646	0.662834	0.2065	22.8513	22.8553	22.8545
100	5	0.05	0.004	0.261799	0	0.896604	0.797646	0.662834	0.03	23.2	23.1878	23.1903
100	5	0.05	0.005	0.261799	0	0.896604	0.797646	0.662834	0.1345	23.0175	23.0169	23.017
100	5	0.05	0.006	0.261799	0	0.896604	0.797646	0.662834	0.142	23.1138	23.1172	23.1165
100	5	0.05	0.007	0.261799	0	0.896604	0.797646	0.662834	0.056	23.3525	23.3544	23.354
100	5	0.05	0.008	0.261799	0	0.896604	0.797646	0.662834	0.037	23.4588	23.4581	23.4583
100	5	0.05	0.009	0.261799	0	0.896604	0.797646	0.662834	0.03125	23.2612	23.2663	23.2653
100	5	0.05	0.01	0.261799	0	0.896604	0.797646	0.662834	0.053	23.0787	23.08	23.0798
100	5	0.05	0.011	0.261799	0	0.896604	0.797646	0.662834	0.223	22.8025	22.8056	22.805
100	5	0.05	0.012	0.261799	0	0.896604	0.797646	0.662834	0.12075	23.065	23.0684	23.0678
100	5	0.05	0.013	0.261799	0	0.896604	0.797646	0.662834	0.0205	23.1212	23.1194	23.1197
100	5	0.05	0.014	0.261799	0	0.896604	0.797646	0.662834	0.0565	23.1387	23.1369	23.1373
100	5	0.05	0.015	0.261799	0	0.896604	0.797646	0.662834	0.03	23.2812	23.2875	23.2863
100	5	0.05	0.016	0.261799	0	0.896604	0.797646	0.662834	0.024	23.2062	23.2138	23.2123
100	5	0.05	0.017	0.261799	0	0.896604	0.797646	0.662834	0.01825	22.9738	22.9706	22.9712
100	5	0.05	0.018	0.261799	0	0.896604	0.797646	0.662834	0.1095	23.6588	23.6597	23.6595
100	5	0.05	0.019	0.261799	0	0.896604	0.797646	0.662834	0.22825	22.985	22.9903	22.9893
100	5	0.05	0.02	0.261799	0	0.896604	0.797646	0.662834	0.21625	22.7363	22.7388	22.7383
100	5	0.05	0.02	0.261799	0	0.998306	0.995984	0.821422	0	0	0	0
100	5	0.05	0.02	0.261799	0	0.998306	0.995984	0.821422	0	0	0	0
100	5	0.05	0.02	0.261799	0	0.998197	0.99557	0.821096	0	0	0	0
100	5	0.05	0.02	0.261799	0	0.998197	0.99557	0.821096	0	0	0	0
100	5	0.05	0.02	0.261799	0	0.998197	0.99557	0.821096	0	0	0	0
100	5	0.05	0.02	0.261799	0	0.998197	0.99557	0.821096	0	0	0	0
100	5	0.05	0.02	0.261799	0	0.998197	0.99557	0.821096	0.014	23.3563	23.3519	23.3528
100	5	0.05	0.02	0.261799	12	0.997307	0.99571	0.821161	0.49225	22.7675	22.7519	22.755
100	5	0.05	0	0.261799	0	0.376059	0.386394	0.318134	1.014	23.4325	23.4728	23.4648
100	5	0.05	0.001	0.261799	0	0.376059	0.386394	0.318134	1.551	24.6604	23.7781	23.9546
100	5	0.05	0.002	0.261799	0	0.997872	0.992256	0.818508	1.19075	23.4325	23.4472	23.4443
100	5	0.05	0.003	0.261799	0	0.997872	0.992256	0.818508	0.0095	24.5741	23.7025	23.8768
100	5	0.05	0.004	0.261799	0	0.997872	0.992256	0.818508	0.111	24.7712	23.8407	24.0268
100	5	0.05	0.001	0.261799	0	0.997872	0.992256	0.818508	1.19075	23.4325	23.4472	23.4443
100	5	0.05	0.002	0.261799	0	0.997872	0.992256	0.818508	0.0095	24.5741	23.7025	23.8768
100	5	0.05	0	0.261799	0	0.376059	0.386394	0.318134	1.014	23.4325	23.4728	23.4648
100	5	0.05	0.001	0.261799	0	0.996567	0.991849	1.13626	1.551	23.4888	23.4847	23.4855
100	5	0.05	0.002	0.261799	0	0.997355	0.992905	1.95525	0.039	23.5138	23.5159	23.5155
100	5	0.05	0.003	0.261799	0	0.997872	0.992256	0.818508	1.19075	23.4325	23.4472	23.4443
100	5	0.05	0.004	0.261799	0	0.998009	0.993487	1.63798	0.0095	23.4025	23.4094	23.408
100	5	0.05	0.005	0.261799	0	0.99699	0.993061	2.45707	0.111	23.5425	23.5444	23.544
100	5	0.05	0.006	0.261799	0	0.996297	0.991458	3.27488	0.0965	23.5588	23.5581	23.5583
100	5	0.05	0.007	0.261799	0	0.994803	0.991269	4.09247	0.11575	23.4725	23.4703	23.4708
